"Algorithm","n","k","Average Swaps","Average Compares","c/n","s/n"
"Insertion Sort","100","1","2415","2514","24.15","25.14"
"Insertion Sort","100","10","2533","2632.59999999999990905052982270717620849609375","25.33","26.326"
"Insertion Sort","100","100","2477","2576.34000000000014551915228366851806640625","24.77","25.7634"
"Insertion Sort","200","1","10098","10297","50.49","51.485"
"Insertion Sort","200","10","9902","10101.70000000000072759576141834259033203125","49.51","50.508500000000005"
"Insertion Sort","200","100","9897","10096.469999999999345163814723491668701171875","49.485","50.48235"
"Insertion Sort","300","1","21843","22142","72.81","73.80666666666667"
"Insertion Sort","300","10","22744","23043.79999999999927240423858165740966796875","75.81333333333333","76.81266666666666"
"Insertion Sort","300","100","22586","22885.27999999999883584678173065185546875","75.28666666666666","76.28426666666667"
"Insertion Sort","400","1","41104","41503","102.76","103.7575"
"Insertion Sort","400","10","40463","40862.699999999997089616954326629638671875","101.1575","102.15674999999999"
"Insertion Sort","400","100","39594","39993.449999999997089616954326629638671875","98.985","99.98362499999999"
"Insertion Sort","500","1","63210","63709","126.42","127.418"
"Insertion Sort","500","10","61753","62252.5","123.506","124.505"
"Insertion Sort","500","100","62414","62913.4899999999979627318680286407470703125","124.828","125.82697999999999"
"Insertion Sort","600","1","89082","89681","148.47","149.46833333333333"
"Insertion Sort","600","10","90494","91093.300000000002910383045673370361328125","150.82333333333332","151.82216666666667"
"Insertion Sort","600","100","89800","90399.35000000000582076609134674072265625","149.66666666666666","150.66558333333333"
"Insertion Sort","700","1","122699","123398","175.28428571428572","176.28285714285715"
"Insertion Sort","700","10","123657","124356.300000000002910383045673370361328125","176.65285714285713","177.65185714285715"
"Insertion Sort","700","100","122061","122760.83999999999650754034519195556640625","174.37285714285716","175.37262857142858"
"Insertion Sort","800","1","155675","156474","194.59375","195.5925"
"Insertion Sort","800","10","162380","163179.2000000000116415321826934814453125","202.975","203.97400000000002"
"Insertion Sort","800","100","159579","160378.51000000000931322574615478515625","199.47375","200.4731375"
"Insertion Sort","900","1","210407","211306","233.78555555555556","234.78444444444443"
"Insertion Sort","900","10","204045","204944.7000000000116415321826934814453125","226.71666666666667","227.71633333333335"
"Insertion Sort","900","100","202257","203156.10000000000582076609134674072265625","224.73","225.729"
"Insertion Sort","1000","1","250150","251149","250.15","251.149"
"Insertion Sort","1000","10","248086","249085.7999999999883584678173065185546875","248.086","249.08579999999998"
"Insertion Sort","1000","100","249332","250331.16000000000349245965480804443359375","249.332","250.33116"
"Quick Sort","100","1","677","515","6.77","5.15"
"Quick Sort","100","10","713.700000000000045474735088646411895751953125","429.30000000000001136868377216160297393798828125","7.1370000000000005","4.293"
"Quick Sort","100","100","722.279999999999972715158946812152862548828125","441.06000000000000227373675443232059478759765625","7.222799999999999","4.4106"
"Quick Sort","200","1","1648","824","8.24","4.12"
"Quick Sort","200","10","1780.799999999999954525264911353588104248046875","1076.799999999999954525264911353588104248046875","8.904","5.3839999999999995"
"Quick Sort","200","100","1742.26999999999998181010596454143524169921875","1037.180000000000063664629124104976654052734375","8.71135","5.1859"
"Quick Sort","300","1","2483","1657","8.276666666666667","5.523333333333333"
"Quick Sort","300","10","2826.5","1681.40000000000009094947017729282379150390625","9.421666666666667","5.604666666666667"
